"uuid","key","media_type","value","created_timestamp","last_updated_timestamp","image","image_uuid","column1","id","mediatype","createdtimestamp","lastupdatedtimestamp"
"565cab7d-e619-41d3-a156-05e9e809ebfd",source,,MBARI/VARS,,,"","07629244-7227-4b94-a58a-01fee7b1092a",34,"",text/plain,"",""
"01234981-6b30-434d-8bdc-91214478f5c1",source,,MBARI/VARS,,,"","07f457c1-0af7-4431-b831-f96f63360066",36,"",text/plain,"",""
"6057d021-9560-4d99-a7d5-7395985f9147",source,,MBARI/VARS,,,"","0814988c-b8d9-4fd3-a4ab-0019bcb41b44",37,"",text/plain,"",""
"28a4ead5-e61c-4377-af6a-0debff6edc5c",source,,MBARI/VARS,,,"","08340a35-b97b-45f6-88b8-6edc2e6b930a",38,"",text/plain,"",""
bddfb2c5-157d-4737-8f14-deb59674d766,source,,MBARI/VARS,,,"","0855ad4b-ac0f-466a-9a9a-dc9ed74379c7",39,"",text/plain,"",""
"0060cfa7-53b3-4ea8-be7b-e2dceb67e85c",source,,MBARI/VARS,,,"","085d2f31-ef89-426c-82d2-c7e0a2a5e6ce",40,"",text/plain,"",""
"8ac92397-8ffb-49f2-9630-f8b6f3201f15",source,,MBARI/VARS,,,"","0873117e-d764-4af6-b2b9-b5ebeacfbb59",41,"",text/plain,"",""
b4228dc4-cbb1-4796-b137-5e810ae9dbe6,source,,MBARI/VARS,,,"","08d2e23f-3853-4b9f-b055-e9590e36e801",43,"",text/plain,"",""
dad64f80-1392-484a-8ab9-fc982fdc591b,source,,MBARI/VARS,,,"","09328e2b-14db-46a7-918c-9407aca9d819",44,"",text/plain,"",""
ca2566d7-8b86-4a67-a740-8587fa5515ff,source,,MBARI/VARS,,,"","0955d808-f3a6-43b3-a2eb-09c2b14369b0",45,"",text/plain,"",""
a4d7e46b-9f7a-468d-b80b-68f46f7fbb90,source,,MBARI/VARS,,,"","09566265-478a-42f9-9e96-7a89f28a4d14",46,"",text/plain,"",""
ebbceea6-6b7b-4414-95ab-d0c7b8fca885,source,,MBARI/VARS,,,"","0956d286-ec3a-4531-853e-968d93836bb2",47,"",text/plain,"",""
b0c7e32c-c8df-4df4-add7-b25582851744,source,,MBARI/VARS,,,"","098f3d44-751b-4625-9232-fcc31cdcd20f",48,"",text/plain,"",""
"3ab6928b-45ab-4e8b-8d85-591194c24355",source,,MBARI/VARS,,,"","09b5d4d4-da2b-41d3-9cde-c758817bf717",49,"",text/plain,"",""
"5595c5a8-0e5d-47c5-9a1a-7139bd3c56c4",source,,MBARI/VARS,,,"","09ff9fb4-fdb6-460b-84e5-b2c8d1d07633",50,"",text/plain,"",""
"2ef576fb-54ec-43ef-ad4b-c09455879c01",source,,MBARI/VARS,,,"","0a119cbb-d378-4cc6-a22b-5cf8aac3ef88",51,"",text/plain,"",""
